,word,points,word_length
3650,AA,10,2
5632,AA,12,2
7537,AA,9,2
12711,AA,25,2
12757,AA,18,2
14203,AA,11,2
16159,AA,15,2
21262,AA,17,2
21986,AA,14,2
22559,AA,20,2
23387,AA,18,2
26272,AA,10,2
27163,AA,20,2
28636,AA,15,2
33649,AA,7,2
35948,AA,13,2
36035,AA,23,2
38349,AA,9,2
41612,AA,10,2
42940,AA,17,2
43497,AA,19,2
44506,AA,15,2
45331,AA,22,2
45988,AA,10,2
48812,AA,16,2
49180,AA,24,2
49361,AA,12,2
49801,AA,18,2
50607,AA,26,2
51850,AA,13,2
56925,AA,11,2
57829,AA,16,2
58780,AA,19,2
1146,AAH,20,3
4565,AAH,25,3
4704,AAH,21,3
6386,AAH,29,3
6679,AAH,32,3
8727,AAH,22,3
25266,AAH,31,3
26735,AAH,27,3
27080,AAH,28,3
36737,AAH,28,3
44680,AAH,28,3
52031,AAH,23,3
58395,AAH,32,3
7046,AAHED,28,5
57624,AAHED,44,5
12744,AAL,22,3
40651,AAL,12,3
16549,AALII,12,5
28995,AALII,21,5
37325,AALII,26,5
41357,AALII,7,5
48598,AALII,20,5
49098,AALII,18,5
53030,AALII,12,5
59832,AALII,18,5
18218,AAS,15,3
36033,AAS,19,3
38803,AAS,12,3
69,AB,18,2
1661,AB,24,2
2762,AB,21,2
5417,AB,28,2
12886,AB,24,2
13409,AB,29,2
14102,AB,20,2
16717,AB,21,2
20485,AB,10,2
21886,AB,20,2
25885,AB,18,2
40601,AB,15,2
42553,AB,19,2
50083,AB,19,2
56933,AB,25,2
59302,AB,31,2
19469,ABA,25,3
30383,ABA,25,3
21916,ABAC,30,4
57631,ABAC,11,4
38103,ABACI,37,5
2083,ABAFT,28,5
18001,ABAFT,41,5
22304,ABAFT,14,5
35605,ABAFT,22,5
37970,ABAFT,20,5
10632,ABAMP,36,5
26395,ABAMP,30,5
46602,ABAMP,48,5
3539,ABANDED,38,7
44330,ABASER,38,6
38586,ABASK,54,5
12751,ABATE,32,5
18918,ABATE,16,5
31330,ABATED,30,6
12979,ABATING,79,7
19736,ABATTOIR,30,8
49561,ABATURE,86,7
30435,ABAYA,20,5
45092,ABAYA,22,5
59536,ABAYA,42,5
39032,ABB,13,3
15009,ABBE,34,4
26285,ABBE,35,4
30963,ABBED,42,5
15582,ABBOTCY,32,7
20273,ABCEE,36,5
50390,ABCEE,38,5
13881,ABDICANT,76,8
56718,ABDICATE,48,8
2097,ABDOMEN,78,7
22853,ABEAR,21,5
56833,ABEARING,63,8
13266,ABEARS,38,6
24741,ABED,31,4
35453,ABED,37,4
49797,ABED,42,4
49827,ABED,24,4
29895,ABEGGING,78,8
40527,ABELIA,51,6
12687,ABER,31,4
54691,ABERRANT,70,8
9200,ABERRATES,64,9
37392,ABERRATES,90,9
46746,ABERS,21,5
9279,ABET,8,4
14327,ABET,37,4
36653,ABET,12,4
24976,ABID,37,4
55394,ABID,22,4
56566,ABID,29,4
28948,ABIDE,28,5
54680,ABIDE,30,5
14460,ABIDERS,81,7
7111,ABIES,13,5
48900,ABIETIC,22,7
60558,ABIETIC,75,7
29359,ABJECT,40,6
60107,ABJURE,30,6
54451,ABJURING,72,8
10057,ABLATORS,149,8
4637,ABLAZE,34,6
22424,ABLAZE,74,6
55900,ABLAZE,74,6
11152,ABLEGATES,82,9
29665,ABLEIST,79,7
47257,ABLER,14,5
46894,ABLET,33,5
25466,ABLINS,22,6
50735,ABNEGATE,64,8
18734,ABO,30,3
21527,ABO,28,3
29173,ABO,34,3
54656,ABO,23,3
57168,ABO,26,3
22769,ABODE,33,5
46298,ABODE,37,5
13507,ABODED,26,6
7848,ABOIDEAU,70,8
14822,ABOIDEAU,77,8
33707,ABOIDEAU,24,8
41489,ABOIDEAUS,69,9
943,ABOIL,24,5
9644,ABOIL,21,5
42326,ABOITEAU,80,8
50277,ABOITEAU,74,8
20739,ABOLLAS,75,7
17982,ABOMA,32,5
25473,ABOMA,36,5
22819,ABOON,23,5
44479,ABOON,24,5
46519,ABOON,32,5
58166,ABORAL,33,6
17699,ABORNE,22,6
16166,ABORT,18,5
44459,ABORT,20,5
11392,ABORTED,93,7
8799,ABORTEES,70,8
32148,ABORTEES,83,8
20022,ABORTION,62,8
52962,ABORTION,86,8
56809,ABORTIVE,69,8
57665,ABOULIA,36,7
59668,ABOULIAS,63,8
44985,ABOULIC,34,7
47530,ABOUND,27,6
